Ticker,SharesOut,ZacksSector,Beta,Price,Name
ACRX,79.57,Medical,2.04,2.11,"AcelRx Pharmaceuticals, Inc."
ACST,88.98,Medical,1.52,2.45,"Acasti Pharma, Inc."
ACTG,50.34,Business Services,0.61,2.66,Acacia Research Corporation
ACU,3.35,Consumer Discretionary,1.34,23.79,Acme United Corporation.
ACUR,21.3,Medical,1.41,0.23,"Acura Pharmaceuticals, Inc."
ACWI,141.8,Finance,0.94,79.25,iShares MSCI ACWI ETF
ACY,1.55,Finance,0.11,4.5,AeroCentury Corp.
ADAP,104.69,Medical,1.83,1.2,Adaptimmune Therapeutics PLC
ADBE,484.08,Computer and Technology,1.11,329.81,Adobe Systems Incorporated
ADC,42.41,Finance,-0.05,70.17,Agree Realty Corporation
ADDXF,15.53,Medical,0.23,1.91,Addex Pharmaceuticals Ltd.
ADDYY,398.34,Consumer Discretionary,0.71,162.8,Adidas AG
ADES,18.59,Industrial Products,1.08,10.5,"Advanced Emissions Solutions, Inc."
ADFS,69.22,Aerospace,1.32,0.0468,American Defense Systems Inc.
ADI,368.3,Computer and Technology,1.42,118.84,"Analog Devices, Inc."
ADIL,10.32,Medical,0.42,2.41,"Adial Pharmaceuticals, Inc."
ADM,556.69,Consumer Staples,1.08,46.35,Archer Daniels Midland Company
ADMA,59.32,Medical,2.59,4,ADMA Biologics Inc
ADMG,21.48,Basic Materials,4.98,0.019,Adamant Dri Processing And Minerals Group
ADMP,61.63,Medical,1.44,0.7004,Adamis Pharmaceuticals Corporation
ADMS,27.86,Medical,1.71,3.79,"Adamas Pharmaceuticals, Inc."
ADMT,67.59,Medical,-0.68,0.1999,ADM Tronics Unlimited Inc.
ADNT,93.62,Auto-Tires-Trucks,3.17,21.25,Adient PLC
ADOCY,6.92,Medical,0.7,12.38,Adocia
ADOM,73.13,Utilities,2.34,0.1749,"ADOMANI, Inc."
ADP,432.7,Business Services,0.86,170.5,"Automatic Data Processing, Inc."
ADPT,124.34,Medical,,29.92,Adaptive Biotechnologies Corporation
ADRNY,1104.63,Consumer Staples,0.24,25.1,Ahold NV
ADRO,80.51,Medical,1.49,1.18,"Aduro Biotech, Inc."
ADRZY,520,Industrial Products,0.6,7.73,ANDRITZ AG
ADS,46.06,Business Services,1.67,112.2,Alliance Data Systems Corporation
ADSK,220.03,Computer and Technology,1.89,183.46,"Autodesk, Inc."
ADSW,89.4,Business Services,0.63,32.87,Advanced Disposal Services Inc.
ADT,743.5,Industrial Products,2.4,7.93,ADT Inc.
ADTN,47.83,Computer and Technology,1.24,9.89,"ADTRAN, Inc."
ADUS,15.56,Medical,-0.15,97.22,Addus HomeCare Corporation
ADVC,59.67,Computer and Technology,-1.23,5.33,Advant-e Corp.
ADVM,64.59,Medical,2.76,11.52,"Adverum Biotechnologies, Inc."
ADVOF,49.74,Computer and Technology,1.62,8.88,ADVA OPTICAL
ADX,106.15,Finance,1.07,15.77,"Adams Diversified Equity Fund, Inc."
ADXS,17.22,Medical,3.89,0.8577,"Advaxis, Inc."
ADYX,0.84,Medical,1.8,1.25,"Alliqua BioMedical, Inc."
AE,4.23,Oils-Energy,0.86,38.07,"Adams Resources & Energy, Inc."
AEE,246.03,Utilities,0.19,76.8,Ameren Corporation
AEF,50.75,Finance,0.66,7.62,"Aberdeen Emerging Markets Equity Income Fund, Inc."
AEG,2680.67,Finance,1.32,4.53,Aegon NV
AEGG,71.9,Oils-Energy,-0.48,0.026,American Energy Group Ltd.
AEGN,30.76,Construction,2.16,22.37,Aegion Corporation
AEHR,22.72,Computer and Technology,0.7,2,Aehr Test Systems
AEIS,38.33,Computer and Technology,1.57,71.2,"Advanced Energy Industries, Inc."
AEL,91.05,Finance,2.04,29.93,American Equity Investment Life Holding Company
AEM,239.85,Basic Materials,-0.54,61.61,Agnico Eagle Mines Limited
AEMD,1.44,Medical,0.24,0.963,"Aethlon Medical, Inc."
AEO,166.98,Retail-Wholesale,0.82,14.7,"American Eagle Outfitters, Inc."
AEP,493.95,Utilities,0.07,94.51,"American Electric Power Company, Inc."
AEPT,150.64,Oils-Energy,2.38,0.0043,W2 Energy Inc.
AER,134.07,Finance,1.78,61.47,Aercap Holdings N.V.
AERG,204.2,Computer and Technology,4.77,0.33,Applied Energetics Inc.
AERI,46.32,Medical,0.52,24.17,"Aerie Pharmaceuticals, Inc."
AERN,1488.73,Oils-Energy,-0.18,0.0001,AER Energy Resources Inc.
AES,663.89,Utilities,1.09,19.9,The AES Corporation
AESE,23.18,Consumer Discretionary,0.26,2.6,Black Ridge Acquisition Corporation
AETUF,353.4,Oils-Energy,1.14,6.28,Arc Resources Ltd.
AEXAY,534.43,Business Services,1.47,16.73,ATOS ORIGIN SA
AEY,10.36,Computer and Technology,0.48,2.46,"ADDvantage Technologies Group, Inc."
AEYE,8.88,Computer and Technology,1.43,4.69,"Audioeye, Inc."
AEZS,20.03,Medical,1.23,0.91,AEterna Zentaris Inc.
AFG,90.18,Finance,0.84,109.65,"American Financial Group, Inc."
AFH,11.94,Finance,0.96,0.4316,"Atlas Financial Holdings, Inc."
AFI,21.5,Construction,2.02,4.27,"Armstrong Flooring, Inc."
AFIN,106.76,Finance,0.15,13.26,"American Finance Trust, Inc."
AFL,734.02,Finance,0.7,52.9,Aflac Incorporated
AFLYY,427.49,Transportation,0.83,11.02,Air France-KLM SA
AFMD,76.24,Medical,2.66,2.74,Affimed N.V.
AFOM,100.13,Consumer Discretionary,1.06,0.0003,All For One Media Corp.
AFTM,335.25,Consumer Discretionary,-3.58,0.0021,"Aftermaster, Inc."
AFYA,87.68,Consumer Discretionary,,27.12,Afya Limited
AG,202.52,Basic Materials,0.19,12.26,First Majestic Silver Corp.
AGCO,75.52,Industrial Products,1,77.25,AGCO Corporation
AGE,37.65,Medical,4.4,1.82,"AgeX Therapeutics, Inc."
AGEN,137.36,Medical,2.09,4.07,Agenus Inc.
AGESY,198.37,Finance,0.8,59.275,Ageas SA
AGFS,50.96,Basic Materials,0.65,2.58,"AgroFresh Solutions, Inc."
AGG,616,Finance,-0.05,112.37,iShares Core U.S. Aggregate Bond ETF
AGHC,9.91,Medical,1.15,0.03,AEON GLOBAL HEALTH CORP
AGI,391.07,Basic Materials,0.24,6.02,Alamos Gold Inc.
AGIO,58.88,Medical,2.35,47.75,"Agios Pharmaceuticals, Inc."
AGLE,28.99,Medical,1.07,7.64,"Aeglea BioTherapeutics, Inc."
AGM,10.71,Finance,1.17,83.5,Federal Agricultural Mortgage Corporation
AGMH,21.32,Finance,2.15,16.9348,AGM Group Holdings Inc.
AGN,328.28,Medical,1.64,191.17,Allergan plc
AGNC,540.92,Finance,0.25,17.68,AGNC Investment Corp.
AGNUQ,16.95,Computer and Technology,,,"AG&E Holdings, Inc."
AGO,95.39,Finance,1,49.02,Assured Guaranty Ltd.
AGPYY,78.34,Finance,0.43,66.8,Agile Property Holdings Ltd.
AGR,309.01,Utilities,0.12,51.16,"Avangrid, Inc."
AGRO,116.56,Consumer Staples,0.75,8.37,Adecoagro S.A.
AGRX,59.3,Medical,0.75,2.5,"Agile Therapeutics, Inc."
AGS,35.44,Consumer Discretionary,1.19,12.13,"PlayAGS, Inc."
AGTC,18.22,Medical,2.7,4.52,Applied Genetic Technologies Corporation
AGTK,20.54,Business Services,-5.93,0.0422,"Agritek Holdings, Inc."
AGX,15.63,Construction,0.54,40.14,"Argan, Inc."
AGYS,23.66,Computer and Technology,0.25,25.41,"Agilysys, Inc."
AGYTF,636,Medical,-0.62,0.17,ALLERGY THERAPT
AGZ,4.95,Finance,-0.06,115.58,iShares Agency Bond ETF
AHC,21.46,Consumer Staples,0.19,2.82,A.H. Belo Corporation
AHCHY,259.92,Construction,1.63,36.51,Anhui Conch Cement Co.
AHCO,31.25,Medical,0.18,10.98,DFB Healthcare Acquisitions Corp.
AHEXY,333.15,Business Services,0.96,31.635,Adecco SA
AHH,55.42,Finance,0.43,18.35,"Armada Hoffler Properties, Inc."
AHIX,3903.6,Computer and Technology,-1.65,0.0001,COREwafer Industries Inc.
AHKSY,701.31,Basic Materials,0.69,22.5385,Asahi Kasei Corp.
AHNR,36.53,Basic Materials,4.06,0.038,Athena Silver Corp.
AHPI,4.01,Medical,0.08,1.216,"Allied Healthcare Products, Inc."
AHT,102.11,Finance,1.35,2.79,Ashford Hospitality Trust Inc
AI,36.76,Finance,1,5.57,Arlington Asset Investment Corp
AIFS,4.42,Computer and Technology,-0.29,2.25,Agent Information Software Inc.
AIG,869.95,Finance,1.17,51.33,"American International Group, Inc."
AIGI,21.18,Consumer Staples,65.85,0.03,Artistmss International Group Inc.
AIH,23.61,Medical,,6.42,Aesthetic Medical International Hldngs Group Ltd Sponsored ADR
AIHS,28.84,Computer and Technology,1.2,0.67,Senmiao Technology Limited
AIM,8.26,Medical,0.89,0.544,"Hemispherx BioPharma, Inc."
AIMC,64.57,Industrial Products,1.97,36.21,Altra Industrial Motion Corp.
AIMT,62.67,Medical,0.02,33.47,"Aimmune Therapeutics, Inc."
AIN,32.3,Industrial Products,1.62,75.92,Albany International Corporation
AINC,2.2,Finance,0.76,23.6,Ashford Inc.
AINV,66.55,Finance,1.11,17.46,Apollo Investment Corporation
AIQUY,2356.44,Basic Materials,0.78,28.05,Air Liquide
AIR,34.91,Aerospace,1.15,45.1,AAR Corp.
AIRG,9.7,Computer and Technology,1.88,10.69,"Airgain, Inc."
AIRI,29,Aerospace,1.22,2.3,Air Industries Group
AIRO,0.67,Computer and Technology,0.08,4.31,Airspan Networks Inc.
AIRT,3.02,Transportation,1.31,20.15,"Air T, Inc."
AIRYY,726.24,Transportation,1.9,20.55,Air China Ltd.
AIT,38.66,Industrial Products,1.37,66.69,"Applied Industrial Technologies, Inc."
AIV,148.88,Finance,0.48,51.65,Apartment Investment and Management Company
AIVN,413.98,Basic Materials,0.53,0.0032,American International Ventures Inc.
AIZ,60.64,Finance,0.48,131.08,"Assurant, Inc."
AJG,186.52,Finance,0.8,95.23,Arthur J. Gallagher & Co.
AJINY,548.1,Consumer Staples,-0.18,16.75,Ajinomoto Co.
AJMPF,712.74,Finance,0.92,6.89,ASHMORE GROUP
AJRD,78.69,Aerospace,0.41,45.66,"Aerojet Rocketdyne Holdings, Inc."
AJX,20.35,Finance,0.75,14.81,Great Ajax Corp.
AKAM,161.6,Computer and Technology,0.58,86.38,"Akamai Technologies, Inc."
AKAOQ,63.88,Medical,-0.07,0.01,"Achaogen, Inc."
AKBA,118.94,Medical,1.77,6.32,"Akebia Therapeutics, Inc."
AKBTY,2600,Finance,0.59,2.71,Akbank Turk Anonim Sirketi
AKCA,93.9,Medical,1.45,16.94,"Akcea Therapeutics, Inc."
AKER,0.52,Medical,-0.88,3.2,Akers Biosciences Inc
AKG,226.21,Basic Materials,0.29,0.95,Asanko Gold Inc.
AKO.A,157.76,Consumer Staples,0.28,15.6002,Embotelladora Andina S.A.
AKO.B,157.76,Consumer Staples,0.06,17.5,Embotelladora Andina S.A.
AKR,86.95,Finance,0.62,25.93,Acadia Realty Trust
AKRO,28.56,Medical,,22.195,"Akero Therapeutics, Inc."
AKRX,126.15,Medical,1.7,1.5,"Akorn, Inc."
AKS,316.42,Basic Materials,3.18,3.29,AK Steel Holding Corporation
AKTS,36.16,Computer and Technology,0.67,8,"Akoustis Technologies, Inc."
AKTX,15.86,Medical,-2.87,1.75,Akari Therapeutics PLC
AKZOY,626.73,Basic Materials,0.77,34.05,Akzo Nobel NV
AL,112.7,Transportation,1.85,47.52,Air Lease Corporation
ALB,106.03,Basic Materials,1.67,73.04,Albemarle Corporation
ALBO,12.69,Medical,1.56,25.42,"Albireo Pharma, Inc."
ALBY,1.26,Finance,0.12,11.5,Community Capital Bancshares Inc.
ALCO,7.48,Consumer Staples,0.88,35.83,"Alico, Inc."
ALDX,27.95,Medical,0.9,5.81,"Aldeyra Therapeutics, Inc."
ALE,51.67,Utilities,0.13,81.17,"Allete, Inc."
ALEC,68.92,Medical,,17.23,"Alector, Inc."
ALEX,72.26,Finance,1.06,20.96,"Alexander & Baldwin Holdings, Inc."
ALFVY,419.46,Construction,0.8,25.14,Alfa Laval AB Unsponsored ADR
ALG,11.83,Industrial Products,0.73,125.55,"Alamo Group, Inc."
ALGN,78.81,Medical,2.05,279.04,"Align Technology, Inc."
ALGT,16.29,Transportation,0.92,174.04,Allegiant Travel Company
ALIM,4.97,Medical,2.09,7.58,"Alimera Sciences, Inc."
ALIOF,107.33,Medical,0.7,278.5,Actelion Ltd.
ALJJ,42.17,Basic Materials,1.48,1.15,"ALJ Regional Holdings, Inc."
ALK,123.17,Transportation,0.78,67.75,"Alaska Air Group, Inc."
ALKS,157.52,Medical,1.77,20.4,Alkermes plc
ALL,323.96,Finance,0.81,112.45,The Allstate Corporation
ALLE,92.92,Industrial Products,1.18,124.54,Allegion PLC
ALLK,48.67,Medical,-1.15,95.36,Allakos Inc.
ALLN,0.01,Computer and Technology,-0.04,,Allin Corp.
ALLO,121.9,Medical,1.45,25.98,"Allogene Therapeutics, Inc."
ALLT,34.35,Computer and Technology,0.84,8.5,Allot Communications Ltd.
ALLWF,239.5,Finance,0.25,0.5,ALLIED MIND LTD
ALLY,380.07,Finance,1.27,30.56,Ally Financial Inc.
ALMC,3.23,Finance,-0.06,8.5,Alliance Semiconductor Corp.
ALNA,23.47,Medical,1.72,2.73,"Allena Pharmaceuticals, Inc."
ALNPY,1673.15,Transportation,0.23,6.52,ANA Holdings Inc.
ALNY,111.49,Medical,2.45,115.17,"Alnylam Pharmaceuticals, Inc."
ALO,84.71,Basic Materials,-0.15,0.7845,Timmons Gold Corp
ALOT,7.07,Business Services,0.32,13.72,"AstroNova, Inc."
ALPE,38.88,Business Services,2.79,0.31,alpha-En Corporation
ALPMY,1888.82,Medical,0.77,17.03,Astellas Pharma Inc.
ALPN,18.59,Medical,1.85,3.84,"Nivalis Therapeutics, Inc."
ALRM,48.57,Industrial Products,1.3,42.97,"Alarm.com Holdings, Inc."
ALRN,27.81,Medical,2.37,0.573,"Aileron Therapeutics, Inc."
ALRS,17.05,Finance,,22.85,ALERUS FINL CP
ALRT,268.78,Medical,11.52,0.017,ALR Technologies Inc.
ALSE,0.01,Medical,0.05,10.0001,Alseres Pharmaceuticals Inc.
ALSK,53.01,Utilities,0.85,1.77,"Alaska Communications Systems Group, Inc."
ALSMY,2235.72,Transportation,0.32,4.69,Alstom ADR
ALSN,119.23,Auto-Tires-Trucks,1.37,48.32,"Allison Transmission Holdings, Inc."
ALSWF,41.9,Computer and Technology,0.71,6.64,Absolute Software Corporation
ALT,15.34,Medical,2.21,1.89,"PharmAthene, Inc"
ALTM,324.93,Oils-Energy,-0.01,2.86,Altus Midstream Company
ALTR,71.77,Construction,1.4,35.91,Altair Engineering Inc.
ALTX,12.26,Oils-Energy,-0.49,0.0811,Altex Industries Inc.
ALV,87.23,Auto-Tires-Trucks,1.5,84.41,"Autoliv, Inc."
ALX,5.11,Finance,0.36,330.35,"Alexander's, Inc."
ALXN,221.29,Medical,1.64,108.15,"Alexion Pharmaceuticals, Inc."
ALYA,50.28,Business Services,0.9,2.78,Alithya Group Inc.
ALYE,3.82,Oils-Energy,1.06,0.55,Aly Energy Services Inc.
AM,503.42,Oils-Energy,1.39,7.59,Antero Midstrm
AMADY,438.82,Computer and Technology,0.88,82.32,Amadeus IT Group SA
AMAG,33.91,Medical,0.42,12.17,"AMAG Pharmaceuticals, Inc."
AMAL,31.77,Finance,0.43,19.45,Amalgamated Bank
AMAR,40.22,Medical,0,0.3,Amarillo Biosciences Inc.
AMAT,915.3,Computer and Technology,1.66,61.04,"Applied Materials, Inc."
AMBA,33.54,Computer and Technology,1.23,60.56,"Ambarella, Inc."
AMBC,45.55,Finance,1.05,21.57,"Ambac Financial Group, Inc."
AMBK,6,Finance,-0.32,12,American Bank Inc.
AMBO,21.75,Consumer Discretionary,-18.1,1.98,Ambow Education Holding Ltd.
AMBS,260.35,Medical,0.75,0.0131,Amarantus Bioscience Holdings Inc.
AMBZ,7.85,Finance,0.63,35.65,American Business Bank
AMC,103.85,Consumer Discretionary,0.73,7.24,"AMC Entertainment Holdings, Inc."
AMCF,10.26,Oils-Energy,2.54,0.01,Andatee China Marine Fuel Services Corp.
AMCR,1620.14,Industrial Products,0.8,10.84,Amcor PLC
AMCRY,289.54,Industrial Products,,,Amcor Ltd.
AMCX,55.56,Consumer Discretionary,0.76,39.5,AMC Networks Inc.
AMD,1113.63,Computer and Technology,3.11,45.86,"Advanced Micro Devices, Inc."
AMDLY,91.05,Industrial Products,0.24,48,Amada Co.
AME,228.59,Computer and Technology,1.23,99.74,"AMETEK, Inc."
AMED,32.26,Medical,1.49,166.92,"Amedisys, Inc."
AMEH,34.89,Medical,-0.86,18.41,"Apollo Medical Holdings, Inc."
AMEN,0.05,Computer and Technology,-0.32,750,AMEN Properties Inc.
AMFC,0.97,Finance,-0.05,17,AMB Financial Corp.
AMG,49.27,Finance,1.66,84.74,"Affiliated Managers Group, Inc."
AMGN,594.18,Medical,1.11,241.07,Amgen Inc.
AMH,300.71,Finance,0.59,26.21,American Homes 4 Rent
AMK,72.4,Finance,,29.02,"AssetMark Financial Holdings, Inc."
AMKBY,4163.2,Transportation,1.09,7.18,A P MOLLAR-MRSK
AMKR,239.78,Computer and Technology,2,13,"Amkor Technology, Inc."
AMN,46.71,Medical,0.82,62.31,AMN Healthcare Services Inc
AMNB,11.11,Finance,1.09,39.57,"American National Bankshares, Inc."
AMNF,32.07,Consumer Staples,0.04,3.5,Armanino Foods of Distinction Inc.
AMNL,175.51,Basic Materials,0.74,0.0066,Applied Minerals Inc.
AMNP,478.61,Basic Materials,1.4,0.015,American Sierra Gold Corp.
AMOT,9.6,Computer and Technology,1.48,48.5,"Allied Motion Technologies, Inc."
AMP,130.87,Finance,1.86,166.58,"Ameriprise Financial, Inc."
AMPE,158.65,Medical,0.85,0.583,"Ampio Pharmaceuticals, Inc."
AMPH,46.94,Medical,1.16,19.29,"Amphastar Pharmaceuticals, Inc."
AMPY,39.98,Oils-Energy,1.85,6.61,Amplify Energy Corp.
AMRB,5.9,Finance,0.23,14.87,American River Bankshares
AMRC,47.03,Oils-Energy,0.44,17.5,"Ameresco, Inc."
AMRH,2.51,Business Services,1.44,2.26,"AMERI Holdings, Inc."
AMRK,7.03,Consumer Discretionary,-0.06,8.27,"A-Mark Precious Metals, Inc."
AMRN,357.21,Medical,1.05,21.44,Amarin Corporation PLC
AMRQQ,382.6,Oils-Energy,1.96,0.0156,"ALTA MESA RESOURCES, INC."
AMRS,105.5,Basic Materials,0.9,3.09,"Amyris, Inc."
AMRX,299.1,Medical,1.61,4.82,"AMNEAL PHARMACEUTICALS, INC."
AMS,5.82,Medical,0.86,2.44,American Shared Hospital Services
AMSC,21.76,Computer and Technology,1.08,7.85,American Superconductor Corporation
AMSF,19.3,Finance,0.48,66.03,"AMERISAFE, Inc."
AMSIY,1093.51,Basic Materials,1.15,0.11,Arcelormittal South Africa Ltd.
AMSSY,164.23,Computer and Technology,2.54,20.07,ams AG Unsponsored ADR
AMSWA,31.95,Computer and Technology,0.51,14.88,"American Software, Inc."
AMT,442.94,Finance,0.41,229.82,American Tower Corporation (REIT)
AMTB,43.21,Finance,,21.79,Mercantil Bank Holding Corporation
AMTD,541.65,Finance,1.29,49.7,TD Ameritrade Holding Corporation
AMTX,20.57,Oils-Energy,0.18,0.83,"Aemetis, Inc"
AMTY,48.92,Auto-Tires-Trucks,0.27,0.0199,Amerityre Corp.
AMWD,16.92,Consumer Discretionary,2.23,104.51,American Woodmark Corporation
AMX,3301,Computer and Technology,0.49,16,"America Movil, S.A.B. de C.V."
AMZA,68.9,Finance,1.61,4.52,InfraCap MLP ETF
AMZN,495.8,Retail-Wholesale,1.5,1847.84,"Amazon.com, Inc."
AN,89.21,Retail-Wholesale,1,48.63,"AutoNation, Inc."
ANAB,27.13,Medical,1.14,16.25,"AnaptysBio, Inc."
ANAT,26.89,Finance,0.68,117.68,American National Insurance Company
ANCN,7.42,Medical,,1.4,Anchiano Therapeutics Ltd. Sponsored ADR
ANDE,32.6,Basic Materials,1.34,25.28,"The Andersons, Inc."
ANDR,68.11,Consumer Discretionary,0.85,0.021,Andrea Electronics Corp.
ANET,76.4,Computer and Technology,1.49,203.4,"Arista Networks, Inc."
ANF,62.75,Retail-Wholesale,0.99,17.29,Abercrombie & Fitch Company
ANFC,479.85,Oils-Energy,0.99,0.018,Black Ridge Oil & Gas Inc.
ANGI,502.8,Computer and Technology,2.16,8.47,ANGI Homeservices Inc.
ANGO,37.62,Medical,0.65,16.01,"AngioDynamics, Inc."
ANH,98.85,Finance,0.51,3.52,Anworth Mortgage Asset  Corporation
ANIK,14.27,Medical,0.95,51.85,Anika Therapeutics Inc.
ANIOY,541.09,Basic Materials,1.37,5.43,ACERINOX SA ADR
ANIP,12.09,Medical,1.95,61.67,"ANI Pharmaceuticals, Inc."
ANIX,20.21,Medical,0.67,3.28,ANIXA BIOSCIENCES INC
ANPDF,2701.3,Consumer Discretionary,1.14,9.3,Anta Sports Products Ltd.
ANSS,84.19,Computer and Technology,1.41,257.41,"ANSYS, Inc."
ANTE,12.56,Transportation,1.42,0.995,AirMedia Group Inc
ANTH,26.18,Medical,3.87,0.0342,"Anthera Pharmaceuticals, Inc."
ANTM,253.56,Medical,0.76,302.03,"Anthem, Inc."
ANY,3.76,Computer and Technology,2.28,0.7782,Sphere 3D Corp.
ANZBY,2874,Finance,1.05,17.225,Australia & New Zealand Banking Group Ltd.
AOBC,55.06,Consumer Discretionary,0.36,9.28,American Outdoor Brands Corporation
AOIFF,471.21,Oils-Energy,1.59,0.91,Africa Oil Corp.
AOMOY,792.18,Utilities,0.65,1.55,AO Mosenergo
AON,232.05,Finance,0.86,208.29,Aon plc
AOREF,0.05,Finance,-0.12,325,American Overseas Group Ltd.
AOS,163.11,Industrial Products,1.48,47.64,A. O. Smith Corporation
AOSL,24.55,Computer and Technology,1.07,13.62,Alpha and Omega Semiconductor Limited
AOWDF,458.79,Consumer Discretionary,-0.04,1.12,AO WORLD PLC
AOXY,3.29,Finance,-0.92,0.0801,Advanced Oxygen Technologies Inc.
AP,12.64,Industrial Products,1.14,3.01,Ampco-Pittsburgh Corporation
